decile,mean_return,window,model,seed_index
1,-0.00014181037151910644,1,Ridge,1
2,7.94810115403316e-05,1,Ridge,1
3,1.0402855926048453e-05,1,Ridge,1
4,-5.781412742209563e-05,1,Ridge,1
5,-1.4111444274703654e-05,1,Ridge,1
6,-5.209502810350645e-05,1,Ridge,1
7,-6.130707490670176e-05,1,Ridge,1
8,1.459600431116183e-05,1,Ridge,1
9,-0.00013968985713431965,1,Ridge,1
10,-0.0002651711521466149,1,Ridge,1
1,-0.00024077242987126547,1,LightGBM,1
2,-7.708558049233265e-05,1,LightGBM,1
3,-1.2743307372426663e-05,1,LightGBM,1
4,-0.000109735381422957,1,LightGBM,1
5,1.1014797341008297e-05,1,LightGBM,1
6,-3.625162947616283e-05,1,LightGBM,1
7,-0.00011143235779635361,1,LightGBM,1
8,-4.370420657245316e-05,1,LightGBM,1
9,-3.3193807346362125e-06,1,LightGBM,1
10,-5.588784185250418e-06,1,LightGBM,1
1,-0.00019982093498389453,1,MLP,1
2,3.83145678892704e-05,1,MLP,1
3,-5.4495410366527617e-05,1,MLP,1
4,-6.055086032537433e-05,1,MLP,1
5,5.3247090438698556e-05,1,MLP,1
6,-6.265192584098487e-05,1,MLP,1
7,-7.806281366734102e-05,1,MLP,1
8,-8.480262247225785e-05,1,MLP,1
9,-5.864843264505448e-05,1,MLP,1
10,-0.00011433119060561515,1,MLP,1
1,-0.0001351369556162844,1,MLP,2
2,6.84131911282682e-05,1,MLP,2
3,-0.0001989060544779035,1,MLP,2
4,-5.6155621613278375e-05,1,MLP,2
5,6.792144897848643e-05,1,MLP,2
6,4.163874086296481e-05,1,MLP,2
7,-9.616778017482091e-05,1,MLP,2
8,-0.00019268313765903228,1,MLP,2
9,-8.547812550743405e-05,1,MLP,2
10,-3.766595292371532e-05,1,MLP,2
1,-0.00013461573914570751,1,MLP,3
2,-8.751051493126545e-06,1,MLP,3
3,-6.233947545789112e-05,1,MLP,3
4,-8.592233659309893e-06,1,MLP,3
5,-0.00014031977412303835,1,MLP,3
6,8.117074686866858e-06,1,MLP,3
7,-7.647088464804546e-05,1,MLP,3
8,-0.00013269993500970365,1,MLP,3
9,-4.601339332147611e-05,1,MLP,3
10,-2.1946363357238195e-05,1,MLP,3
1,-0.0001482991127892144,1,MLP,4
2,1.99699480250883e-05,1,MLP,4
3,-6.703936287316352e-05,1,MLP,4
4,2.2317624986009312e-05,1,MLP,4
5,-3.627281258687388e-05,1,MLP,4
6,-2.9976837373725297e-05,1,MLP,4
7,-0.00015499953717909172,1,MLP,4
8,-5.2464875332559465e-05,1,MLP,4
9,-9.713709511232449e-05,1,MLP,4
10,-7.857479683081521e-05,1,MLP,4
1,-0.00015754505573130042,1,MLP,5
2,2.439702018511766e-05,1,MLP,5
3,-9.603748372205556e-05,1,MLP,5
4,1.2349333772046627e-05,1,MLP,5
5,-9.125431613612497e-06,1,MLP,5
6,-0.00010297434173086386,1,MLP,5
7,-6.455078271741643e-05,1,MLP,5
8,-0.00011991366945076898,1,MLP,5
9,-4.16876630089008e-05,1,MLP,5
10,-7.173352514561897e-05,1,MLP,5
1,-0.0001331949686610668,1,GRU,1
2,-0.00019250041506602914,1,GRU,1
3,-6.121660082493432e-05,1,GRU,1
4,-0.00011505593345779976,1,GRU,1
5,-0.0001388589960357435,1,GRU,1
6,9.395423881275195e-05,1,GRU,1
7,-0.00010159954181304601,1,GRU,1
8,5.24337373706314e-05,1,GRU,1
9,3.560311460794952e-05,1,GRU,1
10,-4.321887161951785e-05,1,GRU,1
1,-0.00019291732575160383,1,GRU,2
2,-0.00016384124605965916,1,GRU,2
3,-8.903441260059589e-05,1,GRU,2
4,-3.5179823462010964e-05,1,GRU,2
5,-3.8905780377889466e-05,1,GRU,2
6,-6.302690953424512e-05,1,GRU,2
7,1.6979256040429806e-05,1,GRU,2
8,3.134725889187263e-05,1,GRU,2
9,-4.152313149574699e-05,1,GRU,2
10,-4.5304420674253595e-05,1,GRU,2
1,-0.00024658043284689666,1,GRU,3
2,-0.00013078438147539636,1,GRU,3
3,-0.00011025178084705927,1,GRU,3
4,-1.8953934883881277e-05,1,GRU,3
5,-9.016170205922264e-05,1,GRU,3
6,2.5039418370583496e-05,1,GRU,3
7,6.569526986786318e-05,1,GRU,3
8,-2.215100301347074e-05,1,GRU,3
9,-7.919473774290815e-05,1,GRU,3
10,-1.4548029659641632e-05,1,GRU,3
1,-6.388813283702549e-05,1,GRU,4
2,-0.0002492979197557972,1,GRU,4
3,-4.373698829735277e-05,1,GRU,4
4,-0.00014347574776839934,1,GRU,4
5,-3.7321927685869594e-05,1,GRU,4
6,0.00013803162284389462,1,GRU,4
7,1.2033153134160886e-05,1,GRU,4
8,-1.85984666791497e-05,1,GRU,4
9,-0.00010783216508654058,1,GRU,4
10,-8.195720434832219e-05,1,GRU,4
1,-0.00016232454122532038,1,GRU,5
2,-0.00016036362580057226,1,GRU,5
3,-0.00014192479363666453,1,GRU,5
4,-1.1434344319783422e-05,1,GRU,5
5,-2.7870479276323455e-05,1,GRU,5
6,4.1132103815688155e-05,1,GRU,5
7,2.4755423540575522e-05,1,GRU,5
8,-5.178031532274036e-05,1,GRU,5
9,-6.136697824453809e-05,1,GRU,5
10,-5.5491599637223164e-05,1,GRU,5
1,0.00021163559640556112,2,Ridge,1
2,0.00021413631717426471,2,Ridge,1
3,9.939340097130488e-05,2,Ridge,1
4,0.00013934668903011683,2,Ridge,1
5,0.00015747344250971495,2,Ridge,1
6,0.00011304334341700555,2,Ridge,1
7,1.740345644929074e-05,2,Ridge,1
8,3.2544587594392765e-05,2,Ridge,1
9,2.3212645594195525e-05,2,Ridge,1
10,0.00012862461845732754,2,Ridge,1
1,0.00015640761992345305,2,LightGBM,1
2,6.036634348861778e-05,2,LightGBM,1
3,5.5157488745181114e-05,2,LightGBM,1
