code,month,holding_month,out_date,holding_end_date,next_month_return,return_observed,holding_end_is_before_month_end
600849,2010-02,2010-03,2010-03-05,2010-03-05,0.0,True,True
000578,2011-02,2011-03,2011-03-22,2011-03-22,0.0,True,True
600087,2014-05,2014-06,2014-06-05,2014-06-05,0.03750000000000009,True,True
000033,2017-06,2017-07,2017-07-07,2017-07-07,0.18881118881118875,True,True
300372,2017-07,2017-08,2017-08-28,2017-08-28,-0.12941176470588234,True,True
000511,2018-06,2018-07,2018-07-18,2018-07-18,-0.22784810126582278,True,True
600806,2018-06,2018-07,2018-07-13,2018-07-13,0.14843750000000022,True,True
000979,2018-11,2018-12,2018-12-28,2018-12-28,-0.2142857142857143,True,True
000418,2019-05,2019-06,2019-06-21,2019-06-21,0.0,True,True
000693,2019-06,2019-07,2019-07-09,2019-07-09,-0.02631578947368418,True,True
002477,2019-09,2019-10,2019-10-16,2019-10-16,-0.05555555555555558,True,True
002680,2019-10,2019-11,2019-11-27,2019-11-27,0.7906976744186047,True,True
002143,2019-10,2019-11,2019-11-29,2019-11-29,0.0869565217391306,True,True
600074,2020-05,2020-06,2020-06-02,2020-06-02,0.0,True,True
300104,2020-06,2020-07,2020-07-21,2020-07-21,-0.4375,True,True
002509,2020-06,2020-07,2020-07-20,2020-07-20,-0.21052631578947367,True,True
002604,2020-06,2020-07,2020-07-15,2020-07-15,-0.16666666666666652,True,True
300156,2020-07,2020-08,2020-08-25,2020-08-25,-0.07692307692307698,True,True
600069,2020-07,2020-08,2020-08-27,2020-08-27,0.47368421052631593,True,True
300090,2020-07,2020-08,2020-08-25,2020-08-25,0.0,True,True
300216,2020-08,2020-09,2020-09-16,2020-09-16,-0.6346153846153846,True,True
000939,2020-11,2020-12,2020-12-17,2020-12-17,-0.06249999999999989,True,True
600086,2021-02,2021-03,2021-03-17,2021-03-17,-0.1578947368421053,True,True
600687,2021-02,2021-03,2021-03-03,2021-03-03,0.0,True,True
600701,2021-03,2021-04,2021-04-30,2021-04-30,0.5,True,False
000662,2021-03,2021-04,2021-04-12,2021-04-12,0.19047619047619047,True,True
002450,2021-04,2021-05,2021-05-31,2021-05-31,-0.7752808988764045,True,False
600634,2021-06,2021-07,2021-07-21,2021-07-21,-0.17647058823529416,True,True
002359,2021-06,2021-07,2021-07-23,2021-07-23,0.09375,True,True
600614,2021-06,2021-07,2021-07-21,2021-07-21,0.18181818181818166,True,True
000760,2021-06,2021-07,2021-07-23,2021-07-23,-0.21212121212121215,True,True
002711,2021-06,2021-07,2021-07-15,2021-07-15,0.18518518518518534,True,True
300362,2021-07,2021-08,2021-08-30,2021-08-30,0.675,True,True
600145,2022-03,2022-04,2022-04-28,2022-04-28,0.09677419354838723,True,True
603996,2022-04,2022-05,2022-05-24,2022-05-24,0.08333333333333348,True,True
000835,2022-04,2022-05,2022-05-23,2022-05-23,0.09375,True,True
603157,2022-04,2022-05,2022-05-24,2022-05-24,0.03508771929824572,True,True
000585,2022-04,2022-05,2022-05-24,2022-05-24,0.06060606060606055,True,True
000687,2022-05,2022-06,2022-06-17,2022-06-17,-0.06451612903225801,True,True
600275,2022-05,2022-06,2022-06-22,2022-06-22,-0.06818181818181812,True,True
600890,2022-05,2022-06,2022-06-21,2022-06-21,0.125,True,True
600093,2022-05,2022-06,2022-06-23,2022-06-23,0.21951219512195141,True,True
600291,2022-05,2022-06,2022-06-14,2022-06-14,0.059523809523809534,True,True
600209,2022-05,2022-06,2022-06-22,2022-06-22,0.35632183908045967,True,True
600091,2022-05,2022-06,2022-06-21,2022-06-21,-0.03797468354430378,True,True
300178,2022-05,2022-06,2022-06-22,2022-06-22,-0.3548387096774194,True,True
002473,2022-05,2022-06,2022-06-22,2022-06-22,-0.27522935779816515,True,True
002260,2022-05,2022-06,2022-06-17,2022-06-17,-0.1718749999999999,True,True
600695,2022-05,2022-06,2022-06-14,2022-06-14,-0.037735849056603765,True,True
600652,2022-05,2022-06,2022-06-21,2022-06-21,0.08181818181818157,True,True
002618,2022-05,2022-06,2022-06-22,2022-06-22,0.2727272727272727,True,True
600856,2022-05,2022-06,2022-06-22,2022-06-22,-0.12903225806451613,True,True
600385,2022-06,2022-07,2022-07-07,2022-07-07,0.0,True,True
300312,2022-06,2022-07,2022-07-04,2022-07-04,-0.09090909090909083,True,True
600896,2022-06,2022-07,2022-07-25,2022-07-25,0.16666666666666652,True,True
