code,month,holding_month,out_date,out_month,delisted_before_holding_month
000502,2022-06,2022-07,2022-06-27,2022-06,True
000611,2022-06,2022-07,2022-06-28,2022-06,True
000613,2022-06,2022-07,2022-06-29,2022-06,True
000693,2019-07,2019-08,2019-07-09,2019-07,True
000996,2024-06,2024-07,2024-06-28,2024-06,True
002087,2024-06,2024-07,2024-06-28,2024-06,True
002147,2022-06,2022-07,2022-06-23,2022-06,True
002220,2020-08,2020-09,2020-08-11,2020-08,True
002359,2021-07,2021-08,2021-07-23,2021-07,True
002411,2023-07,2023-08,2023-07-12,2023-07,True
002447,2022-06,2022-07,2022-06-27,2022-06,True
002464,2022-06,2022-07,2022-06-28,2022-06,True
002680,2019-11,2019-12,2019-11-27,2019-11,True
002684,2022-06,2022-07,2022-06-27,2022-06,True
002711,2021-07,2021-08,2021-07-15,2021-07,True
002750,2025-06,2025-07,2025-06-27,2025-06,True
002751,2023-07,2023-08,2023-07-13,2023-07,True
002770,2022-06,2022-07,2022-06-23,2022-06,True
300023,2022-06,2022-07,2022-06-29,2022-06,True
300038,2022-06,2022-07,2022-06-30,2022-06,True
300064,2022-06,2022-07,2022-06-27,2022-06,True
300216,2020-09,2020-10,2020-09-16,2020-09,True
300280,2025-10,2025-11,2025-10-14,2025-10,True
300297,2023-07,2023-08,2023-07-31,2023-07,True
300309,2023-05,2023-06,2023-05-30,2023-05,True
300312,2022-07,2022-08,2022-07-04,2022-07,True
300325,2022-06,2022-07,2022-06-28,2022-06,True
300344,2026-04,2026-05,2026-04-22,2026-04,True
300367,2022-06,2022-07,2022-06-30,2022-06,True
300391,2026-04,2026-05,2026-04-13,2026-04,True
300742,2024-07,2024-08,2024-07-22,2024-07,True
300799,2024-07,2024-08,2024-07-29,2024-07,True
600086,2021-03,2021-04,2021-03-17,2021-03,True
600146,2022-06,2022-07,2022-06-30,2022-06,True
600200,2025-12,2026-01,2025-12-31,2025-12,True
600242,2023-06,2023-07,2023-06-29,2023-06,True
600317,2021-01,2021-02,2021-01-29,2021-01,True
600553,2011-02,2011-03,2011-02-18,2011-02,True
600555,2022-07,2022-08,2022-07-13,2022-07,True
600607,2010-02,2010-03,2010-02-12,2010-02,True
600695,2022-06,2022-07,2022-06-14,2022-06,True
600747,2019-12,2020-01,2019-12-12,2019-12,True
600767,2023-06,2023-07,2023-06-29,2023-06,True
600856,2022-06,2022-07,2022-06-22,2022-06,True
600870,2022-06,2022-07,2022-06-30,2022-06,True
601299,2015-05,2015-06,2015-05-20,2015-05,True
603603,2024-04,2024-05,2024-04-25,2024-04,True
