year,decile,delisting_stock_months,returns_observed,partial_month_end_quotes,mean_return
2010,1,1,1,1,0.0
2010,2,1,1,1,-0.016901408450704203
2010,8,1,1,1,0.02083333333333348
2011,1,1,1,1,0.0
2011,3,1,1,1,-0.018159048215403817
2011,10,1,1,1,0.030261348005502064
2012,6,1,1,1,-0.0014005602240896309
2012,9,1,1,1,0.05882352941176472
2012,10,1,1,1,0.0
2013,9,1,1,1,0.0
2013,10,3,3,3,0.0
2014,1,1,1,1,0.03750000000000009
2015,10,6,6,6,-0.020413830546849476
2016,10,1,1,1,-0.02813852813852813
2017,1,2,2,2,0.029699712052653204
2017,10,2,2,2,0.09918478260869568
2018,1,3,3,3,-0.09789877185051228
2018,7,1,0,1,
2018,9,2,2,2,0.11612160024172336
2019,1,5,5,5,0.15915657022569912
2019,10,5,4,5,0.02547721674876846
2020,1,9,9,9,-0.12389413705203174
2020,2,2,2,2,0.0
2020,8,1,1,1,0.08333333333333326
2020,10,4,4,4,0.017695099818511806
2021,1,11,11,9,0.04586019285495831
2021,3,1,1,1,0.011673151750972721
2021,4,1,1,1,0.0
2021,7,1,1,1,0.06896551724137945
2021,8,1,1,1,0.0
2021,10,1,1,1,0.06203208556149731
2022,1,26,26,26,0.017351539116347386
2023,1,20,20,20,-0.026757213930097175
2023,10,2,2,2,-0.08374384236453203
2024,1,10,10,10,-0.08725008707767332
2024,10,1,1,1,0.0
2025,1,13,13,12,0.09174578062317897
2025,4,1,1,1,0.0
2025,5,1,0,1,
2025,7,1,1,1,0.0
2025,9,1,1,1,0.0
2026,1,4,4,4,-0.11550259216589864
