decile,delisting_stock_months,returns_observed,dropped_missing_return,partial_month_end_quotes,mean_return,median_return
1,106,106,0,103,-0.0022398066537489777,0.0
2,3,3,0,3,-0.005633802816901401,0.0
3,2,2,0,2,-0.003242948232215548,-0.003242948232215548
4,2,2,0,2,0.0,0.0
5,1,0,1,1,,
6,1,1,0,1,-0.0014005602240896309,-0.0014005602240896309
7,3,2,1,3,0.034482758620689724,0.034482758620689724
8,3,3,0,3,0.034722222222222245,0.02083333333333348
9,5,5,0,5,0.058213345979042284,0.0
10,27,26,1,27,0.005586271880954721,0.0
