date,excluded,observations,excluded_pct
2010-01,399,34351,1.161538237605892
2010-02,353,26198,1.34743110161081
2010-03,367,40687,0.902008012387249
2010-04,630,37784,1.667372432775778
2010-05,1127,36571,3.081676738399278
2010-06,587,35341,1.660960357658244
2010-07,580,41469,1.3986351250331572
2010-08,397,42049,0.9441366025351375
2010-09,530,36891,1.436664769184896
2010-10,667,31498,2.117594767921773
2010-11,1183,43890,2.6953748006379583
2010-12,449,46590,0.9637261214852973
2011-01,500,41208,1.2133566297806253
2011-02,396,31364,1.2625940568805
2011-03,463,48775,0.9492567913890313
2011-04,554,40724,1.3603771731657008
2011-05,637,45539,1.398801027690551
2011-06,446,46130,0.9668328636462171
2011-07,391,46625,0.8386058981233244
2011-08,556,51580,1.0779371849554091
2011-09,440,47520,0.9259259259259258
2011-10,438,36475,1.2008224811514736
2011-11,406,50522,0.8036103083805075
2011-12,923,50876,1.8142149540058181
2012-01,896,34939,2.5644695039926733
2012-02,617,49104,1.256516780710329
2012-03,704,51821,1.3585226066652516
2012-04,703,40382,1.740874647120004
2012-05,631,52669,1.198048187738518
2012-06,426,48337,0.8813124521588018
2012-07,800,53527,1.494572832402339
2012-08,1009,56418,1.7884363146513524
2012-09,498,49293,1.010285436065973
2012-10,491,44524,1.1027760309046806
2012-11,504,54449,0.9256368344689526
2012-12,680,51975,1.3083213083213083
2013-01,761,49500,1.5373737373737375
2013-02,361,37116,0.9726263605992025
2013-03,598,51952,1.151062519248537
2013-04,368,44514,0.8267062047895044
2013-05,633,54384,1.163945278022948
2013-06,647,42024,1.5395964210927089
2013-07,843,56844,1.483006122018155
2013-08,771,54350,1.4185832566697332
2013-09,833,46931,1.7749461976092562
2013-10,821,44460,1.8466036887089519
2013-11,671,51870,1.2936186620397148
2013-12,963,54349,1.7718817273546892
2014-01,596,52098,1.1439978502053822
2014-02,883,40277,2.1923181964893117
2014-03,778,52899,1.4707272349193747
2014-04,561,52899,1.0605115408608858
2014-05,407,50380,0.8078602620087336
2014-06,451,50373,0.8953209060409346
2014-07,714,58129,1.2283025684253985
2014-08,679,53302,1.273873400622866
2014-09,809,53465,1.5131394370148696
2014-10,643,46102,1.3947334172053274
2014-11,749,51444,1.4559521032579115
2014-12,1826,59435,3.072263817615883
2015-01,1159,52032,2.2274753997539976
2015-02,735,39334,1.8686123964000612
2015-03,2027,58276,3.4782757910632163
2015-04,2739,56140,4.878874242964018
2015-05,4810,54190,8.876176416312973
2015-06,8526,57793,14.752651705223816
2015-07,18425,64016,28.78186703324169
2015-08,10528,58443,18.014133429153194
2015-09,6922,55660,12.436219906575637
2015-10,2971,47311,6.2797235315254385
2015-11,2668,58444,4.565053726644309
2015-12,1949,64278,3.032141634773951
2016-01,6979,56238,12.40975852626338
2016-02,2700,45072,5.9904153354632586
2016-03,2102,65016,3.233050326073582
2016-04,942,56782,1.658976436194569
2016-05,1004,59907,1.6759310264242908
2016-06,1399,57296,2.441706227310807
2016-07,964,60452,1.5946536094752863
2016-08,941,66699,1.4108157543591358
2016-09,730,58498,1.2479059113132072
2016-10,664,47175,1.4075251722310544
