year,total_rows,eligible_rows,stocks,limit_excluded_pct
2010,453319,335698,2049,1.6035065814580904
2011,537338,400720,2326,1.1445310028324818
2012,587438,485156,2478,1.354866385899448
2013,588294,531085,2477,1.405759705181423
2014,620803,539816,2596,1.465199105030098
2015,665917,465720,2818,9.529565996963585
2016,704878,578602,3038,2.952993283944172
2017,799801,633255,3475,1.5967721970840245
2018,857532,726674,3575,2.2085473195169394
2019,890739,810895,3772,2.39632484936665
2020,952245,815755,4157,2.9141659971960996
2021,1062633,882413,4624,2.4180502581794467
2022,1149504,993481,4949,2.1089095818718335
2023,1212196,1097058,5142,1.1166511026269679
2024,1236574,1144477,5174,2.489216173071729
2025,1251474,1169583,5212,1.9710357546381305
2026,685932,635943,5220,2.251535137593814
