formation_month,holding_month,decile,n,below_30
2010-01,2010-02,1,143,False
2010-01,2010-02,2,144,False
2010-01,2010-02,3,144,False
2010-01,2010-02,4,143,False
2010-01,2010-02,5,144,False
2010-01,2010-02,6,144,False
2010-01,2010-02,7,143,False
2010-01,2010-02,8,144,False
2010-01,2010-02,9,144,False
2010-01,2010-02,10,144,False
2010-02,2010-03,1,143,False
2010-02,2010-03,2,144,False
2010-02,2010-03,3,144,False
2010-02,2010-03,4,145,False
2010-02,2010-03,5,143,False
2010-02,2010-03,6,144,False
2010-02,2010-03,7,145,False
2010-02,2010-03,8,144,False
2010-02,2010-03,9,144,False
2010-02,2010-03,10,145,False
2010-03,2010-04,1,143,False
2010-03,2010-04,2,144,False
2010-03,2010-04,3,144,False
2010-03,2010-04,4,144,False
2010-03,2010-04,5,144,False
2010-03,2010-04,6,144,False
2010-03,2010-04,7,144,False
2010-03,2010-04,8,144,False
2010-03,2010-04,9,144,False
2010-03,2010-04,10,144,False
2010-04,2010-05,1,143,False
2010-04,2010-05,2,144,False
2010-04,2010-05,3,144,False
2010-04,2010-05,4,143,False
2010-04,2010-05,5,144,False
2010-04,2010-05,6,144,False
2010-04,2010-05,7,143,False
2010-04,2010-05,8,144,False
2010-04,2010-05,9,144,False
2010-04,2010-05,10,144,False
2010-05,2010-06,1,141,False
2010-05,2010-06,2,141,False
2010-05,2010-06,3,141,False
2010-05,2010-06,4,141,False
2010-05,2010-06,5,141,False
2010-05,2010-06,6,141,False
2010-05,2010-06,7,141,False
2010-05,2010-06,8,141,False
2010-05,2010-06,9,141,False
2010-05,2010-06,10,142,False
2010-06,2010-07,1,141,False
2010-06,2010-07,2,142,False
2010-06,2010-07,3,141,False
2010-06,2010-07,4,142,False
2010-06,2010-07,5,142,False
2010-06,2010-07,6,141,False
2010-06,2010-07,7,142,False
2010-06,2010-07,8,141,False
2010-06,2010-07,9,142,False
2010-06,2010-07,10,142,False
2010-07,2010-08,1,141,False
2010-07,2010-08,2,142,False
2010-07,2010-08,3,142,False
2010-07,2010-08,4,142,False
2010-07,2010-08,5,142,False
2010-07,2010-08,6,141,False
2010-07,2010-08,7,142,False
2010-07,2010-08,8,142,False
2010-07,2010-08,9,142,False
2010-07,2010-08,10,142,False
2010-08,2010-09,1,142,False
2010-08,2010-09,2,143,False
2010-08,2010-09,3,143,False
2010-08,2010-09,4,142,False
2010-08,2010-09,5,143,False
2010-08,2010-09,6,143,False
2010-08,2010-09,7,142,False
2010-08,2010-09,8,143,False
2010-08,2010-09,9,143,False
2010-08,2010-09,10,143,False
2010-09,2010-10,1,144,False
2010-09,2010-10,2,144,False
