model,formation_month,holding_month,decile,n,mean_return
cto_sort,2013-01,2013-02,1,219,0.04399607714766828
cto_sort,2013-01,2013-02,2,220,0.03463713107591727
cto_sort,2013-01,2013-02,3,220,0.037965194159172586
cto_sort,2013-01,2013-02,4,219,0.040602882547216404
cto_sort,2013-01,2013-02,5,220,0.03549337242433092
cto_sort,2013-01,2013-02,6,220,0.03124525324522695
cto_sort,2013-01,2013-02,7,219,0.024924832999703505
cto_sort,2013-01,2013-02,8,220,0.03649674490825243
cto_sort,2013-01,2013-02,9,220,0.033299334142521016
cto_sort,2013-01,2013-02,10,220,0.04957031201739642
cto_sort,2013-02,2013-03,1,221,-0.048972686814080776
cto_sort,2013-02,2013-03,2,221,-0.032874578888709434
cto_sort,2013-02,2013-03,3,222,-0.023944281821247464
cto_sort,2013-02,2013-03,4,221,-0.034284910594164344
cto_sort,2013-02,2013-03,5,222,-0.0426677498076976
cto_sort,2013-02,2013-03,6,221,-0.03695873495992005
cto_sort,2013-02,2013-03,7,221,-0.03813830819284917
cto_sort,2013-02,2013-03,8,222,-0.049055681109686465
cto_sort,2013-02,2013-03,9,221,-0.032366120465346204
cto_sort,2013-02,2013-03,10,222,-0.03085825704099918
cto_sort,2013-03,2013-04,1,224,-0.04176895195811224
cto_sort,2013-03,2013-04,2,224,-0.023755380731794753
cto_sort,2013-03,2013-04,3,224,-0.03651542063724955
cto_sort,2013-03,2013-04,4,224,-0.026510676134923316
cto_sort,2013-03,2013-04,5,225,-0.018854823375733822
cto_sort,2013-03,2013-04,6,224,-0.03615917015916327
cto_sort,2013-03,2013-04,7,224,-0.030714907900959133
cto_sort,2013-03,2013-04,8,224,-0.02579452814862205
cto_sort,2013-03,2013-04,9,224,-0.021528972936616726
cto_sort,2013-03,2013-04,10,225,-0.031502461394000654
cto_sort,2013-04,2013-05,1,226,0.13409625857476015
cto_sort,2013-04,2013-05,2,226,0.16594960217644703
cto_sort,2013-04,2013-05,3,226,0.16118693320046779
cto_sort,2013-04,2013-05,4,227,0.1572536324342276
cto_sort,2013-04,2013-05,5,226,0.1391686432899664
cto_sort,2013-04,2013-05,6,226,0.13014737704711193
cto_sort,2013-04,2013-05,7,227,0.1392961743262303
cto_sort,2013-04,2013-05,8,226,0.1261162788236038
cto_sort,2013-04,2013-05,9,226,0.13923014772236514
cto_sort,2013-04,2013-05,10,227,0.14394284900972817
cto_sort,2013-05,2013-06,1,230,-0.12573066599677118
cto_sort,2013-05,2013-06,2,230,-0.14167564067061333
cto_sort,2013-05,2013-06,3,230,-0.16077469263225072
cto_sort,2013-05,2013-06,4,230,-0.1571560688095926
cto_sort,2013-05,2013-06,5,231,-0.16275330211948721
cto_sort,2013-05,2013-06,6,230,-0.15001357309949068
cto_sort,2013-05,2013-06,7,230,-0.17468406205710438
cto_sort,2013-05,2013-06,8,230,-0.15489825133980206
cto_sort,2013-05,2013-06,9,230,-0.16557285207922284
cto_sort,2013-05,2013-06,10,231,-0.1571056080517056
cto_sort,2013-06,2013-07,1,230,0.11354780406062341
cto_sort,2013-06,2013-07,2,230,0.08496622698786133
cto_sort,2013-06,2013-07,3,231,0.09292006537517422
cto_sort,2013-06,2013-07,4,230,0.07625223132667007
cto_sort,2013-06,2013-07,5,231,0.07869744945735517
cto_sort,2013-06,2013-07,6,230,0.06420178678615879
cto_sort,2013-06,2013-07,7,230,0.057286503412897
cto_sort,2013-06,2013-07,8,231,0.05718625935335142
cto_sort,2013-06,2013-07,9,230,0.04995991440407612
cto_sort,2013-06,2013-07,10,231,0.03736854776804167
cto_sort,2013-07,2013-08,1,233,0.06528186044217187
cto_sort,2013-07,2013-08,2,233,0.05654170410211823
cto_sort,2013-07,2013-08,3,233,0.07812285949176125
cto_sort,2013-07,2013-08,4,233,0.08408958409367508
cto_sort,2013-07,2013-08,5,233,0.0890462565617545
cto_sort,2013-07,2013-08,6,233,0.10090348427074873
cto_sort,2013-07,2013-08,7,233,0.09546046661390281
cto_sort,2013-07,2013-08,8,233,0.09715132082618781
cto_sort,2013-07,2013-08,9,233,0.09224860319649868
cto_sort,2013-07,2013-08,10,233,0.08479120529602185
cto_sort,2013-08,2013-09,1,234,0.07031864034169563
cto_sort,2013-08,2013-09,2,234,0.05392920975860118
cto_sort,2013-08,2013-09,3,234,0.051291955432292494
cto_sort,2013-08,2013-09,4,234,0.049660685724830456
cto_sort,2013-08,2013-09,5,235,0.059997554380199
cto_sort,2013-08,2013-09,6,234,0.06956870066704644
cto_sort,2013-08,2013-09,7,234,0.05086399066333415
cto_sort,2013-08,2013-09,8,234,0.053268670264975095
cto_sort,2013-08,2013-09,9,234,0.04162092997754167
cto_sort,2013-08,2013-09,10,235,0.047886818592769435
cto_sort,2013-09,2013-10,1,234,-0.04912747427456873
cto_sort,2013-09,2013-10,2,235,-0.02978089123105709
cto_sort,2013-09,2013-10,3,234,-0.04468658353899306
cto_sort,2013-09,2013-10,4,235,-0.024349480509060335
cto_sort,2013-09,2013-10,5,234,-0.020864615696105645
cto_sort,2013-09,2013-10,6,235,-0.0226231882796227
cto_sort,2013-09,2013-10,7,234,-0.01509514685424113
cto_sort,2013-09,2013-10,8,235,-0.016847533703002647
cto_sort,2013-09,2013-10,9,234,-0.017761590048653027
cto_sort,2013-09,2013-10,10,235,-0.014707887397586378
cto_sort,2013-10,2013-11,1,235,0.08572662965199439
cto_sort,2013-10,2013-11,2,235,0.07941610881848069
cto_sort,2013-10,2013-11,3,236,0.08664336506666974
cto_sort,2013-10,2013-11,4,235,0.0863438661367905
cto_sort,2013-10,2013-11,5,236,0.09031014784939949
cto_sort,2013-10,2013-11,6,235,0.08038742571502965
cto_sort,2013-10,2013-11,7,235,0.0935939062064129
cto_sort,2013-10,2013-11,8,236,0.09190847486175836
cto_sort,2013-10,2013-11,9,235,0.0854220858872633
cto_sort,2013-10,2013-11,10,236,0.08637233994179366
cto_sort,2013-11,2013-12,1,234,-0.06325873924370187
cto_sort,2013-11,2013-12,2,234,-0.0478778508079625
cto_sort,2013-11,2013-12,3,235,-0.03031651434019525
cto_sort,2013-11,2013-12,4,234,-0.02755952602195138
cto_sort,2013-11,2013-12,5,235,-0.01896216561748339
cto_sort,2013-11,2013-12,6,234,-0.02248443004569306
cto_sort,2013-11,2013-12,7,234,-0.01585539798463092
cto_sort,2013-11,2013-12,8,235,-0.023078606992656094
cto_sort,2013-11,2013-12,9,234,-0.03141031287379729
cto_sort,2013-11,2013-12,10,235,-0.048885566051311745
cto_sort,2013-12,2014-01,1,235,0.07647333385699875
cto_sort,2013-12,2014-01,2,235,0.06796100930098807
cto_sort,2013-12,2014-01,3,235,0.04681408037241037
cto_sort,2013-12,2014-01,4,236,0.016570001033765856
cto_sort,2013-12,2014-01,5,235,0.016843937226283686
cto_sort,2013-12,2014-01,6,235,-0.0006801223575330273
cto_sort,2013-12,2014-01,7,236,-0.0015020179281557495
cto_sort,2013-12,2014-01,8,235,-0.015341537684686829
cto_sort,2013-12,2014-01,9,235,-0.013314202586706172
cto_sort,2013-12,2014-01,10,236,0.006710757455267022
cto_sort,2014-01,2014-02,1,235,0.021509204901681983
cto_sort,2014-01,2014-02,2,235,0.030068511969038727
cto_sort,2014-01,2014-02,3,235,0.04161533729153629
cto_sort,2014-01,2014-02,4,235,0.028415620229620856
cto_sort,2014-01,2014-02,5,235,0.03623981212038119
cto_sort,2014-01,2014-02,6,235,0.035513120048664214
cto_sort,2014-01,2014-02,7,235,0.028606515082120875
cto_sort,2014-01,2014-02,8,235,0.03811700891795066
cto_sort,2014-01,2014-02,9,235,0.035620526243558596
cto_sort,2014-01,2014-02,10,235,0.04631811712842347
cto_sort,2014-02,2014-03,1,232,-0.05633845226656723
cto_sort,2014-02,2014-03,2,232,-0.036244288519854444
cto_sort,2014-02,2014-03,3,233,-0.02313278093806901
cto_sort,2014-02,2014-03,4,232,-0.01879439473783475
cto_sort,2014-02,2014-03,5,233,-0.01311892102823361
cto_sort,2014-02,2014-03,6,232,-0.009814995306280468
cto_sort,2014-02,2014-03,7,232,-0.010038233443229473
cto_sort,2014-02,2014-03,8,233,-0.011161777009102676
cto_sort,2014-02,2014-03,9,232,-0.03138703693125236
cto_sort,2014-02,2014-03,10,233,-0.05174799093990495
cto_sort,2014-03,2014-04,1,234,-0.02115077946496442
cto_sort,2014-03,2014-04,2,235,-0.023304906099228428
cto_sort,2014-03,2014-04,3,235,-0.0163848376361721
cto_sort,2014-03,2014-04,4,234,-0.01093347717350001
cto_sort,2014-03,2014-04,5,235,-0.01968127935882552
cto_sort,2014-03,2014-04,6,235,-0.003332292755123376
cto_sort,2014-03,2014-04,7,234,-0.013011714050505871
cto_sort,2014-03,2014-04,8,235,-0.008358275918759645
cto_sort,2014-03,2014-04,9,235,-0.013426750278207202
cto_sort,2014-03,2014-04,10,235,-0.007342712685240071
cto_sort,2014-04,2014-05,1,232,0.03484046221181618
cto_sort,2014-04,2014-05,2,232,0.0377991957992426
cto_sort,2014-04,2014-05,3,232,0.031203818258625875
cto_sort,2014-04,2014-05,4,232,0.02090119741962082
cto_sort,2014-04,2014-05,5,233,0.02993821707255335
cto_sort,2014-04,2014-05,6,232,0.029732261095742483
cto_sort,2014-04,2014-05,7,232,0.028209116198226414
cto_sort,2014-04,2014-05,8,232,0.020749293690242386
cto_sort,2014-04,2014-05,9,232,0.024323374934591493
cto_sort,2014-04,2014-05,10,233,0.026002749969510134
cto_sort,2014-05,2014-06,1,228,0.04055478796495368
