period,model,months,mean_ic,std_ic,icir
full_available,cto_sort,162,0.04022763035800084,0.07366361034794056,0.5460990870253415
full_available,ridge_cto_family,162,0.07736890985892289,0.11823889317655181,0.6543439961282221
full_available,ridge,162,0.10836560226488594,0.14668945351786591,0.7387416045672817
full_available,lightgbm,162,0.09501564581867264,0.12451973646685655,0.7630569138247653
paper_overlap_2010_2020,cto_sort,95,0.03552296152364083,0.07906641802940316,0.44928001557412883
paper_overlap_2010_2020,ridge_cto_family,95,0.07195719675831537,0.12246097817550969,0.587592862888839
paper_overlap_2010_2020,ridge,95,0.10261521291869097,0.1481462292512809,0.692661658938604
paper_overlap_2010_2020,lightgbm,95,0.08984936172433301,0.12256198543833689,0.7330932295441462
out_of_sample_2021_2026,cto_sort,67,0.04689842945149636,0.0652400786224647,0.7188591804570175
out_of_sample_2021_2026,ridge_cto_family,67,0.08504223440456042,0.11244082741906748,0.7563287851627738
out_of_sample_2021_2026,ridge,67,0.11651913939755043,0.14531694163404413,0.8018276333600797
out_of_sample_2021_2026,lightgbm,67,0.10234097401213935,0.1278129134904485,0.8007091867113046
