period,model,return_type,one_side_cost_bps,months,mean_monthly_return,newey_west_t_lag5
full_available,cto_sort,gross,0,162,0.01386026096014211,5.4095417371186105
full_available,cto_sort,net,10,161,0.01074706227586595,4.167571627559617
full_available,cto_sort,net,15,161,0.009164729933447078,3.5505199692097364
full_available,cto_sort,net,25,161,0.006000065248609338,2.319914970304772
full_available,ridge_cto_family,gross,0,162,0.017374294510480795,5.597641263152576
full_available,ridge_cto_family,net,10,161,0.014326161446563417,4.667924901364522
full_available,ridge_cto_family,net,15,161,0.012681164264371747,4.136900204215412
full_available,ridge_cto_family,net,25,161,0.0093911698999884,3.0707877523245677
full_available,ridge,gross,0,162,0.027233674611077036,5.374533197121741
full_available,ridge,net,10,161,0.025082315347329534,4.931441408516319
full_available,ridge,net,15,161,0.023972227320970804,4.71766464435229
full_available,ridge,net,25,161,0.021752051268253345,4.288812657166743
full_available,lightgbm,gross,0,162,0.024789037699362727,6.911686098022382
full_available,lightgbm,net,10,161,0.02241130065709644,6.257946155313328
full_available,lightgbm,net,15,161,0.021152277578945774,5.916757735143875
full_available,lightgbm,net,25,161,0.01863423142264444,5.230121497511415
paper_overlap_2010_2020,cto_sort,gross,0,95,0.012013122146563977,3.449709712999024
paper_overlap_2010_2020,cto_sort,net,10,94,0.008875962903034077,2.519255437988831
paper_overlap_2010_2020,cto_sort,net,15,94,0.007273133880860427,2.061342355754338
paper_overlap_2010_2020,cto_sort,net,25,94,0.004067475836513127,1.149441848943022
paper_overlap_2010_2020,ridge_cto_family,gross,0,95,0.017853159842998113,4.281294187792178
paper_overlap_2010_2020,ridge_cto_family,net,10,94,0.014869561266561348,3.6293324250073637
paper_overlap_2010_2020,ridge_cto_family,net,15,94,0.013168088921387976,3.217750807512997
paper_overlap_2010_2020,ridge_cto_family,net,25,94,0.009765144231041236,2.3916641049366048
paper_overlap_2010_2020,ridge,gross,0,95,0.02873540812776006,4.023780751998005
paper_overlap_2010_2020,ridge,net,10,94,0.026585995164774123,3.695735656399062
paper_overlap_2010_2020,ridge,net,15,94,0.025444367212319213,3.5408951192206377
paper_overlap_2010_2020,ridge,net,25,94,0.02316111130740937,3.230155457922428
paper_overlap_2010_2020,lightgbm,gross,0,95,0.025083475200324393,5.055109744052918
paper_overlap_2010_2020,lightgbm,net,10,94,0.02267604948997498,4.577677620111624
paper_overlap_2010_2020,lightgbm,net,15,94,0.021350612140860897,4.322198037288541
paper_overlap_2010_2020,lightgbm,net,25,94,0.01869973744263274,3.806573912203405
out_of_sample_2021_2026,cto_sort,gross,0,67,0.016479338382379766,4.450680237140991
out_of_sample_2021_2026,cto_sort,net,10,67,0.013372186769092749,3.6170141333574977
out_of_sample_2021_2026,cto_sort,net,15,67,0.011818610962449242,3.199209212854932
out_of_sample_2021_2026,cto_sort,net,25,67,0.008711459349162232,2.361672449539169
out_of_sample_2021_2026,ridge_cto_family,gross,0,67,0.016695306352433853,3.569267490826418
out_of_sample_2021_2026,ridge_cto_family,net,10,67,0.013563779609551395,2.90339576256474
out_of_sample_2021_2026,ridge_cto_family,net,15,67,0.011998016238110162,2.5698278081018238
out_of_sample_2021_2026,ridge_cto_family,net,25,67,0.008866489495227703,1.901436003995825
out_of_sample_2021_2026,ridge,gross,0,67,0.025104350968019,3.6750052106378703
out_of_sample_2021_2026,ridge,net,10,67,0.022972675006437113,3.3657217727203568
out_of_sample_2021_2026,ridge,net,15,67,0.021906837025646178,3.210871567769523
out_of_sample_2021_2026,ridge,net,25,67,0.019775161064064295,2.900761616521995
out_of_sample_2021_2026,lightgbm,gross,0,67,0.024371551690536505,4.7510071365879885
out_of_sample_2021_2026,lightgbm,net,10,67,0.022039861996042954,4.291716844329273
out_of_sample_2021_2026,lightgbm,net,15,67,0.02087401714879619,4.062415525937421
out_of_sample_2021_2026,lightgbm,net,25,67,0.01854232745430265,3.604519500986901
