model,formation_month,decile,stocks,overlap,one_way_turnover
cto_sort,2013-02,1,221,42,0.8099547511312217
cto_sort,2013-03,1,224,55,0.7544642857142857
cto_sort,2013-04,1,226,44,0.8053097345132744
cto_sort,2013-05,1,230,44,0.808695652173913
cto_sort,2013-06,1,230,60,0.7391304347826086
cto_sort,2013-07,1,233,67,0.7124463519313304
cto_sort,2013-08,1,234,54,0.7692307692307692
cto_sort,2013-09,1,234,57,0.7564102564102564
cto_sort,2013-10,1,235,57,0.7574468085106383
cto_sort,2013-11,1,234,72,0.6923076923076923
cto_sort,2013-12,1,235,57,0.7574468085106383
cto_sort,2014-01,1,235,64,0.7276595744680852
cto_sort,2014-02,1,232,64,0.7241379310344828
cto_sort,2014-03,1,234,54,0.7692307692307692
cto_sort,2014-04,1,232,62,0.7327586206896552
cto_sort,2014-05,1,228,65,0.7149122807017544
cto_sort,2014-06,1,229,56,0.7554585152838428
cto_sort,2014-07,1,229,56,0.7554585152838428
cto_sort,2014-08,1,229,56,0.7554585152838428
cto_sort,2014-09,1,229,44,0.8078602620087336
cto_sort,2014-10,1,226,45,0.8008849557522124
cto_sort,2014-11,1,226,51,0.7743362831858407
cto_sort,2014-12,1,228,49,0.7850877192982456
cto_sort,2015-01,1,230,49,0.7869565217391304
cto_sort,2015-02,1,228,41,0.8201754385964912
cto_sort,2015-03,1,229,56,0.7554585152838428
cto_sort,2015-04,1,228,55,0.7587719298245614
cto_sort,2015-05,1,223,55,0.7533632286995515
cto_sort,2015-06,1,221,43,0.8054298642533937
cto_sort,2015-07,1,212,42,0.8018867924528301
cto_sort,2015-08,1,213,26,0.8779342723004695
cto_sort,2015-09,1,213,34,0.8403755868544601
cto_sort,2015-10,1,219,40,0.817351598173516
cto_sort,2015-11,1,227,48,0.788546255506608
cto_sort,2015-12,1,236,47,0.8008474576271186
cto_sort,2016-01,1,239,43,0.8200836820083682
cto_sort,2016-02,1,239,62,0.7405857740585774
cto_sort,2016-03,1,244,56,0.7704918032786885
cto_sort,2016-04,1,245,51,0.7918367346938775
cto_sort,2016-05,1,246,43,0.8252032520325203
cto_sort,2016-06,1,250,66,0.736
cto_sort,2016-07,1,254,60,0.7637795275590551
cto_sort,2016-08,1,256,70,0.7265625
cto_sort,2016-09,1,257,64,0.7509727626459144
cto_sort,2016-10,1,256,65,0.74609375
cto_sort,2016-11,1,260,73,0.7192307692307692
cto_sort,2016-12,1,261,75,0.7126436781609196
cto_sort,2017-01,1,261,81,0.6896551724137931
cto_sort,2017-02,1,260,102,0.6076923076923078
cto_sort,2017-03,1,263,87,0.6692015209125475
cto_sort,2017-04,1,263,72,0.7262357414448669
cto_sort,2017-05,1,261,59,0.7739463601532567
cto_sort,2017-06,1,262,82,0.6870229007633588
cto_sort,2017-07,1,264,52,0.803030303030303
cto_sort,2017-08,1,267,64,0.7602996254681648
cto_sort,2017-09,1,272,85,0.6875
cto_sort,2017-10,1,274,77,0.718978102189781
cto_sort,2017-11,1,280,56,0.8
cto_sort,2017-12,1,282,77,0.7269503546099291
cto_sort,2018-01,1,288,68,0.7638888888888888
cto_sort,2018-02,1,285,63,0.7789473684210526
cto_sort,2018-03,1,290,60,0.7931034482758621
cto_sort,2018-04,1,294,67,0.7721088435374149
cto_sort,2018-05,1,301,61,0.7973421926910299
cto_sort,2018-06,1,305,66,0.7836065573770492
cto_sort,2018-07,1,309,86,0.7216828478964401
cto_sort,2018-08,1,317,66,0.7917981072555205
cto_sort,2018-09,1,323,79,0.7554179566563468
cto_sort,2018-10,1,327,80,0.7553516819571866
cto_sort,2018-11,1,334,77,0.7694610778443114
cto_sort,2018-12,1,336,90,0.7321428571428572
cto_sort,2019-01,1,338,97,0.7130177514792899
cto_sort,2019-02,1,340,85,0.75
cto_sort,2019-03,1,341,89,0.7390029325513197
cto_sort,2019-04,1,342,109,0.6812865497076024
cto_sort,2019-05,1,337,75,0.7774480712166172
cto_sort,2019-06,1,338,65,0.8076923076923077
cto_sort,2019-07,1,338,73,0.7840236686390533
cto_sort,2019-08,1,339,87,0.7433628318584071
cto_sort,2019-09,1,339,89,0.7374631268436578
cto_sort,2019-10,1,340,88,0.7411764705882353
cto_sort,2019-11,1,340,99,0.7088235294117646
cto_sort,2019-12,1,341,119,0.6510263929618768
cto_sort,2020-01,1,342,94,0.7251461988304093
cto_sort,2020-02,1,343,82,0.760932944606414
cto_sort,2020-03,1,344,45,0.8691860465116279
cto_sort,2020-04,1,345,107,0.6898550724637681
cto_sort,2020-05,1,340,91,0.7323529411764707
cto_sort,2020-06,1,341,88,0.7419354838709677
cto_sort,2020-07,1,343,74,0.7842565597667639
cto_sort,2020-08,1,344,76,0.7790697674418605
cto_sort,2020-09,1,345,95,0.7246376811594203
cto_sort,2020-10,1,346,127,0.6329479768786127
cto_sort,2020-11,1,349,91,0.7392550143266476
cto_sort,2020-12,1,352,82,0.7670454545454546
cto_sort,2021-01,1,354,111,0.6864406779661016
cto_sort,2021-02,1,356,70,0.8033707865168539
cto_sort,2021-03,1,358,86,0.7597765363128491
cto_sort,2021-04,1,362,104,0.7127071823204421
cto_sort,2021-05,1,361,117,0.6759002770083102
cto_sort,2021-06,1,366,111,0.6967213114754098
cto_sort,2021-07,1,370,109,0.7054054054054054
cto_sort,2021-08,1,377,108,0.7135278514588859
