period,model,months,mean_low_leg_one_way_turnover,mean_high_leg_one_way_turnover,mean_portfolio_one_way_turnover
full_available,cto_sort,161,0.7466410632387663,0.8356912791801039,0.7911661712094351
full_available,ridge_cto_family,161,0.7720717010167494,0.8729254811749239,0.8224985910958367
full_available,ridge,161,0.5310804609992829,0.579007565359446,0.5550440131793644
full_available,lightgbm,161,0.6715051236712809,0.5875179544793842,0.6295115390753324
paper_overlap_2010_2020,cto_sort,94,0.7559141778619568,0.8469148443116933,0.8014145110868255
paper_overlap_2010_2020,ridge_cto_family,94,0.8073605510693456,0.8941117941040264,0.8507361725866859
paper_overlap_2010_2020,ridge,94,0.5229726601159028,0.6186552923390154,0.5708139762274592
paper_overlap_2010_2020,lightgbm,94,0.6956162028255336,0.6298211462885449,0.6627186745570395
out_of_sample_2021_2026,cto_sort,67,0.7336310218271257,0.8199447848163812,0.7767879033217533
out_of_sample_2021_2026,ridge_cto_family,67,0.7225619710922114,0.8432014003490188,0.7828816857206151
out_of_sample_2021_2026,ridge,67,0.5424555846267116,0.523382396164229,0.5329189903954703
out_of_sample_2021_2026,lightgbm,67,0.6376776394847173,0.5281672077620542,0.5829224236233856
