period,horizon_trading_days,mean_d10_minus_d1_return,newey_west_t_lag5,months
full_2010_2026,1,0.001348471637558547,2.311459227984162,198
paper_overlap_2010_2020,1,0.0016949891520382976,2.1117469866661933,131
out_of_sample_2021_2026,1,0.0006709523182026168,0.9965204224049826,67
full_2010_2026,5,0.002894412833745438,1.7624901509564785,198
paper_overlap_2010_2020,5,0.003976554817005691,1.841193866875446,131
out_of_sample_2021_2026,5,0.000778582985878377,0.3445337540778782,67
full_2010_2026,10,0.006000889084205715,3.698283461738971,198
paper_overlap_2010_2020,10,0.005726345096593008,2.6119501993697076,131
out_of_sample_2021_2026,10,0.006537684045060411,2.870304073576254,67
full_2010_2026,20,0.01625152795922188,6.606486711025828,141
paper_overlap_2010_2020,20,0.013128540320677201,4.515711600897966,96
out_of_sample_2021_2026,20,0.022913901588117205,5.984754709719188,45
