period,months,mean_monthly_return,newey_west_t_lag5,weighting,one_side_cost_bps
full_2010_2026,197,0.012181709130125134,5.893777445532547,EW,10
paper_overlap_2010_2020,130,0.011538346433499257,4.606240832193839,EW,10
out_of_sample_2021_2026,67,0.013430024810145488,3.631894882628579,EW,10
full_2010_2026,189,0.009529808196442552,2.698660452111667,VW,10
paper_overlap_2010_2020,126,0.01139420081202786,2.5867516131017236,VW,10
out_of_sample_2021_2026,63,0.005801022965271937,1.0162350766664583,VW,10
full_2010_2026,197,0.010594187590100128,5.1241980310272455,EW,15
paper_overlap_2010_2020,130,0.009933675498558324,3.963169055990599,EW,15
out_of_sample_2021_2026,67,0.011875778215479749,3.213918143524602,EW,15
full_2010_2026,189,0.00794112993547101,2.249681465114406,VW,15
paper_overlap_2010_2020,126,0.009787605553822477,2.2227023853330232,VW,15
out_of_sample_2021_2026,63,0.004248178698768079,0.7442664649848069,VW,15
full_2010_2026,197,0.007419144510050115,3.5862355967427075,EW,25
paper_overlap_2010_2020,130,0.006724333628676454,2.679320353263525,EW,25
out_of_sample_2021_2026,67,0.008767285026148269,2.3761063719316367,EW,25
full_2010_2026,189,0.004763773413527928,1.3506183361574298,VW,25
paper_overlap_2010_2020,126,0.006574415037411711,1.4939111996020542,VW,25
out_of_sample_2021_2026,63,0.0011424901657603643,0.20019229802479974,VW,25
