month,decile,stocks,excluded_open_limit,excluded_pct
2010-01,1,143,0,0.0
2010-01,10,144,0,0.0
2010-02,1,143,0,0.0
2010-02,10,145,0,0.0
2010-03,1,143,1,0.006993006993006993
2010-03,10,144,0,0.0
2010-04,1,143,2,0.013986013986013986
2010-04,10,144,0,0.0
2010-05,1,141,0,0.0
2010-05,10,142,0,0.0
2010-06,1,141,1,0.0070921985815602835
2010-06,10,142,0,0.0
2010-07,1,141,0,0.0
2010-07,10,142,1,0.007042253521126761
2010-08,1,142,0,0.0
2010-08,10,143,2,0.013986013986013986
2010-09,1,144,1,0.006944444444444444
2010-09,10,145,1,0.006896551724137931
2010-10,1,144,0,0.0
2010-10,10,145,5,0.034482758620689655
2010-11,1,148,0,0.0
2010-11,10,149,1,0.006711409395973154
2010-12,1,151,0,0.0
2010-12,10,152,0,0.0
2011-01,1,154,0,0.0
2011-01,10,155,0,0.0
2011-02,1,156,0,0.0
2011-02,10,157,0,0.0
2011-03,1,159,1,0.006289308176100629
2011-03,10,160,1,0.00625
2011-04,1,163,0,0.0
2011-04,10,164,2,0.012195121951219513
2011-05,1,165,1,0.006060606060606061
2011-05,10,165,0,0.0
2011-06,1,168,2,0.011904761904761904
2011-06,10,169,0,0.0
2011-07,1,171,0,0.0
2011-07,10,172,0,0.0
2011-08,1,175,1,0.005714285714285714
2011-08,10,175,0,0.0
2011-09,1,178,1,0.0056179775280898875
2011-09,10,178,1,0.0056179775280898875
2011-10,1,180,0,0.0
2011-10,10,180,0,0.0
2011-11,1,183,0,0.0
2011-11,10,184,0,0.0
2011-12,1,186,1,0.005376344086021506
2011-12,10,187,1,0.0053475935828877
2012-01,1,189,0,0.0
2012-01,10,190,0,0.0
2012-02,1,192,1,0.005208333333333333
2012-02,10,193,1,0.0051813471502590676
2012-03,1,196,2,0.01020408163265306
2012-03,10,196,2,0.01020408163265306
2012-04,1,197,3,0.015228426395939087
2012-04,10,198,0,0.0
2012-05,1,200,0,0.0
2012-05,10,201,1,0.004975124378109453
2012-06,1,204,0,0.0
2012-06,10,205,0,0.0
2012-07,1,207,0,0.0
2012-07,10,208,1,0.004807692307692308
2012-08,1,211,1,0.004739336492890996
2012-08,10,212,2,0.009433962264150943
2012-09,1,214,1,0.004672897196261682
2012-09,10,215,1,0.004651162790697674
2012-10,1,215,0,0.0
2012-10,10,216,0,0.0
2012-11,1,218,0,0.0
2012-11,10,219,0,0.0
2012-12,1,219,0,0.0
2012-12,10,220,2,0.00909090909090909
2013-01,1,220,1,0.004545454545454545
2013-01,10,221,3,0.013574660633484163
2013-02,1,222,0,0.0
2013-02,10,223,2,0.008968609865470852
2013-03,1,225,3,0.013333333333333334
2013-03,10,226,1,0.004424778761061947
2013-04,1,227,1,0.004405286343612335
2013-04,10,228,1,0.0043859649122807015
2013-05,1,230,1,0.004347826086956522
2013-05,10,231,1,0.004329004329004329
2013-06,1,231,0,0.0
2013-06,10,232,1,0.004310344827586207
2013-07,1,233,1,0.004291845493562232
2013-07,10,234,0,0.0
2013-08,1,235,2,0.00851063829787234
2013-08,10,236,8,0.03389830508474576
2013-09,1,235,1,0.00425531914893617
2013-09,10,235,3,0.01276595744680851
2013-10,1,236,1,0.00423728813559322
2013-10,10,236,1,0.00423728813559322
2013-11,1,235,16,0.06808510638297872
2013-11,10,236,4,0.01694915254237288
2013-12,1,236,1,0.00423728813559322
2013-12,10,236,2,0.00847457627118644
2014-01,1,235,2,0.00851063829787234
2014-01,10,236,4,0.01694915254237288
2014-02,1,233,0,0.0
2014-02,10,234,3,0.01282051282051282
2014-03,1,235,3,0.01276595744680851
2014-03,10,236,1,0.00423728813559322
2014-04,1,233,2,0.008583690987124463
2014-04,10,234,0,0.0
2014-05,1,229,1,0.004366812227074236
2014-05,10,230,1,0.004347826086956522
2014-06,1,230,0,0.0
2014-06,10,230,4,0.017391304347826087
2014-07,1,231,2,0.008658008658008658
2014-07,10,231,5,0.021645021645021644
2014-08,1,230,0,0.0
2014-08,10,231,1,0.004329004329004329
2014-09,1,231,0,0.0
2014-09,10,232,13,0.05603448275862069
2014-10,1,227,1,0.004405286343612335
2014-10,10,228,2,0.008771929824561403
2014-11,1,227,0,0.0
2014-11,10,228,6,0.02631578947368421
2014-12,1,230,0,0.0
2014-12,10,231,3,0.012987012987012988
2015-01,1,231,1,0.004329004329004329
2015-01,10,232,2,0.008620689655172414
2015-02,1,229,1,0.004366812227074236
2015-02,10,230,4,0.017391304347826087
2015-03,1,231,0,0.0
2015-03,10,232,10,0.04310344827586207
