month,decile,stocks,overlap_with_prior_month,one_way_turnover
2010-02,1,144,25,0.8263888888888888
2010-03,1,143,34,0.7622377622377623
2010-04,1,143,31,0.7832167832167832
2010-05,1,141,35,0.75177304964539
2010-06,1,141,32,0.7730496453900709
2010-07,1,141,33,0.7659574468085106
2010-08,1,142,26,0.8169014084507042
2010-09,1,144,31,0.7847222222222222
2010-10,1,144,37,0.7430555555555556
2010-11,1,148,22,0.8513513513513513
2010-12,1,151,29,0.8079470198675497
2011-01,1,154,35,0.7727272727272727
2011-02,1,157,52,0.6687898089171975
2011-03,1,159,36,0.7735849056603774
2011-04,1,163,45,0.7239263803680982
2011-05,1,165,42,0.7454545454545455
2011-06,1,168,56,0.6666666666666667
2011-07,1,171,48,0.7192982456140351
2011-08,1,175,38,0.7828571428571429
2011-09,1,178,34,0.8089887640449438
2011-10,1,180,40,0.7777777777777778
2011-11,1,183,48,0.7377049180327868
2011-12,1,186,54,0.7096774193548387
2012-01,1,189,51,0.7301587301587302
2012-02,1,192,55,0.7135416666666667
2012-03,1,196,50,0.7448979591836735
2012-04,1,197,40,0.7969543147208122
2012-05,1,200,45,0.775
2012-06,1,204,36,0.8235294117647058
2012-07,1,207,55,0.7342995169082125
2012-08,1,211,58,0.7251184834123223
2012-09,1,214,36,0.8317757009345794
2012-10,1,215,61,0.7162790697674419
2012-11,1,218,54,0.7522935779816513
2012-12,1,219,73,0.6666666666666667
2013-01,1,220,57,0.740909090909091
2013-02,1,222,43,0.8063063063063063
2013-03,1,225,55,0.7555555555555555
2013-04,1,227,42,0.8149779735682819
2013-05,1,230,43,0.8130434782608695
2013-06,1,231,60,0.7402597402597403
2013-07,1,233,67,0.7124463519313304
2013-08,1,235,54,0.7702127659574468
2013-09,1,235,57,0.7574468085106383
2013-10,1,236,57,0.7584745762711864
2013-11,1,235,73,0.6893617021276596
2013-12,1,236,58,0.7542372881355932
2014-01,1,235,64,0.7276595744680852
2014-02,1,233,63,0.7296137339055794
2014-03,1,235,54,0.7702127659574468
2014-04,1,233,62,0.7339055793991416
2014-05,1,229,66,0.7117903930131004
2014-06,1,230,56,0.7565217391304347
2014-07,1,231,57,0.7532467532467533
2014-08,1,230,57,0.7521739130434782
2014-09,1,231,44,0.8095238095238095
2014-10,1,227,45,0.801762114537445
2014-11,1,227,51,0.775330396475771
2014-12,1,230,46,0.8
2015-01,1,231,50,0.7835497835497836
2015-02,1,229,42,0.8165938864628821
2015-03,1,231,56,0.7575757575757576
2015-04,1,232,56,0.7586206896551724
2015-05,1,228,55,0.7587719298245614
2015-06,1,225,45,0.8
2015-07,1,218,36,0.8348623853211009
2015-08,1,215,23,0.8930232558139535
2015-09,1,216,34,0.8425925925925926
2015-10,1,222,49,0.7792792792792793
2015-11,1,230,51,0.7782608695652173
2015-12,1,238,48,0.7983193277310925
2016-01,1,240,44,0.8166666666666667
2016-02,1,241,65,0.7302904564315353
2016-03,1,245,58,0.763265306122449
2016-04,1,247,51,0.7935222672064777
2016-05,1,247,42,0.8299595141700404
2016-06,1,252,67,0.7341269841269842
2016-07,1,255,57,0.7764705882352941
2016-08,1,256,72,0.71875
2016-09,1,258,63,0.7558139534883721
2016-10,1,257,66,0.7431906614785992
2016-11,1,260,73,0.7192307692307692
2016-12,1,262,75,0.7137404580152672
2017-01,1,262,81,0.6908396946564885
2017-02,1,261,103,0.6053639846743295
2017-03,1,263,87,0.6692015209125475
2017-04,1,265,73,0.7245283018867925
2017-05,1,262,58,0.7786259541984732
2017-06,1,262,82,0.6870229007633588
2017-07,1,264,52,0.803030303030303
2017-08,1,267,64,0.7602996254681648
2017-09,1,273,85,0.6886446886446886
2017-10,1,275,78,0.7163636363636363
2017-11,1,281,58,0.7935943060498221
2017-12,1,283,77,0.7279151943462898
2018-01,1,288,69,0.7604166666666666
2018-02,1,288,65,0.7743055555555556
2018-03,1,291,61,0.7903780068728522
2018-04,1,295,70,0.7627118644067796
2018-05,1,302,60,0.8013245033112583
2018-06,1,307,67,0.7817589576547231
2018-07,1,310,84,0.7290322580645161
2018-08,1,317,64,0.7981072555205048
2018-09,1,323,82,0.7461300309597523
2018-10,1,328,80,0.7560975609756098
2018-11,1,334,81,0.7574850299401198
2018-12,1,337,92,0.7270029673590505
2019-01,1,339,98,0.7109144542772861
2019-02,1,340,85,0.75
2019-03,1,341,89,0.7390029325513197
2019-04,1,342,109,0.6812865497076024
2019-05,1,338,75,0.7781065088757396
2019-06,1,338,66,0.8047337278106509
2019-07,1,338,74,0.7810650887573964
2019-08,1,339,87,0.7433628318584071
2019-09,1,340,90,0.7352941176470589
2019-10,1,340,88,0.7411764705882353
2019-11,1,341,99,0.7096774193548387
2019-12,1,341,117,0.6568914956011731
2020-01,1,342,93,0.7280701754385965
2020-02,1,343,81,0.7638483965014577
2020-03,1,344,45,0.8691860465116279
2020-04,1,345,108,0.6869565217391305
2020-05,1,340,91,0.7323529411764707
2020-06,1,342,87,0.7456140350877193
2020-07,1,344,75,0.7819767441860466
2020-08,1,345,76,0.7797101449275362
2020-09,1,346,96,0.7225433526011561
2020-10,1,346,126,0.6358381502890174
2020-11,1,350,92,0.7371428571428571
2020-12,1,353,82,0.7677053824362606
2021-01,1,354,110,0.6892655367231638
2021-02,1,356,71,0.800561797752809
2021-03,1,358,88,0.7541899441340782
2021-04,1,363,104,0.7134986225895317
2021-05,1,362,117,0.6767955801104972
2021-06,1,366,110,0.6994535519125683
2021-07,1,371,110,0.7035040431266846
2021-08,1,377,109,0.7108753315649867
2021-09,1,384,101,0.7369791666666667
2021-10,1,386,96,0.7512953367875648
2021-11,1,388,98,0.7474226804123711
2021-12,1,394,88,0.7766497461928934
2022-01,1,397,110,0.7229219143576826
2022-02,1,399,105,0.736842105263158
2022-03,1,404,127,0.6856435643564356
2022-04,1,410,119,0.7097560975609756
2022-05,1,413,128,0.6900726392251816
2022-06,1,420,98,0.7666666666666666
2022-07,1,422,102,0.7582938388625593
2022-08,1,427,117,0.7259953161592505
2022-09,1,431,69,0.839907192575406
2022-10,1,434,79,0.8179723502304148
2022-11,1,438,123,0.7191780821917808
2022-12,1,442,126,0.7149321266968326
2023-01,1,445,133,0.701123595505618
