year,event_type,event_dates
2010,dividend,190
2010,earnings_flash,222
2010,earnings_forecast,2422
2010,periodic_report,5812
2011,dividend,4120
2011,earnings_flash,1073
2011,earnings_forecast,3658
2011,periodic_report,10454
2012,dividend,4974
2012,earnings_flash,415
2012,earnings_forecast,5089
2012,periodic_report,11585
2013,dividend,5252
2013,earnings_flash,1817
2013,earnings_forecast,5311
2013,periodic_report,11275
2014,dividend,5601
2014,earnings_flash,1827
2014,earnings_forecast,5600
2014,periodic_report,15070
2015,dividend,6302
2015,earnings_flash,1749
2015,earnings_forecast,6261
2015,periodic_report,18883
2016,dividend,6326
2016,earnings_flash,2016
2016,earnings_forecast,6914
2016,periodic_report,26856
2017,dividend,7576
2017,earnings_flash,2259
2017,earnings_forecast,7974
2017,periodic_report,32558
2018,dividend,8818
2018,earnings_flash,2600
2018,earnings_forecast,8023
2018,periodic_report,29084
2019,dividend,8444
2019,earnings_flash,2635
2019,earnings_forecast,6787
2019,periodic_report,28941
2020,dividend,8921
2020,earnings_flash,4222
2020,earnings_forecast,7127
2020,periodic_report,30995
2021,dividend,10029
2021,earnings_flash,4697
2021,earnings_forecast,7323
2021,periodic_report,33245
2022,dividend,10648
2022,earnings_flash,2969
2022,earnings_forecast,6057
2022,periodic_report,34521
2023,dividend,11221
2023,earnings_flash,2265
2023,earnings_forecast,5526
2023,periodic_report,35027
2024,dividend,14471
2024,earnings_flash,1531
2024,earnings_forecast,5181
2024,periodic_report,34779
2025,dividend,14642
2025,earnings_flash,1385
2025,earnings_forecast,5017
2025,periodic_report,35927
2026,dividend,12096
2026,earnings_flash,1141
2026,earnings_forecast,5099
2026,periodic_report,17911
