year,stock_label,stock_months,share
2010,baseline,17310,1.0
2011,attention,1109,0.05432014106583072
2011,baseline,18869,0.9242260971786834
2011,information,438,0.021453761755485894
2012,attention,2232,0.09043027307349485
2012,baseline,21700,0.8791832104367555
2012,information,750,0.030386516489749615
2013,attention,4930,0.17804904474701144
2013,baseline,21649,0.7818628336162375
2013,information,1110,0.04008812163675106
2014,attention,3872,0.13948126801152738
2014,baseline,23261,0.8379322766570605
2014,information,627,0.022586455331412104
2015,attention,1803,0.0663111438028687
2015,baseline,24424,0.8982714233173961
2015,information,963,0.0354174328797352
2016,attention,1034,0.0341829481966346
2016,baseline,29061,0.9607259744123773
2016,information,154,0.005091077390988132
2017,attention,4178,0.12960665094924928
2017,baseline,27101,0.8407060429333664
2017,information,957,0.02968730611738429
2018,attention,4810,0.12906514972630675
2018,baseline,31173,0.836454867446603
2018,information,1285,0.034479982827090264
2019,attention,5079,0.12442125376644374
2019,baseline,34451,0.8439528673966831
2019,information,1291,0.03162587883687318
2020,attention,5972,0.14407024992762713
2020,baseline,34094,0.8224934864421499
2020,information,1386,0.03343626363022291
2021,attention,6226,0.13948069986782266
2021,baseline,37077,0.8306337791518247
2021,information,1334,0.02988552098035262
2022,attention,5381,0.10671294000991571
2022,baseline,43772,0.8680614774417451
2022,information,1272,0.025225582548339117
2023,attention,7361,0.1336128657518333
2023,baseline,46081,0.8364372322660277
2023,information,1650,0.02994990198213897
2024,attention,10371,0.17856404958677685
2024,baseline,45519,0.7837293388429752
2024,information,2190,0.03770661157024793
2025,attention,7596,0.12890088072086747
2025,baseline,49908,0.8469174769638039
2025,information,1425,0.024181642315328617
2026,attention,5311,0.1540983606557377
2026,baseline,27617,0.801305672421297
2026,information,1537,0.04459596692296533
