stock_label,quintile,months,mean_stocks,p10_stocks,min_stocks,months_n_lt_10,months_n_lt_30
attention,1,186,82.16129032258064,13.0,1,15,37
attention,2,186,82.56989247311827,13.5,1,15,37
attention,3,186,82.58064516129032,13.5,1,15,37
attention,4,186,82.56989247311827,13.5,1,15,37
attention,5,186,82.96236559139786,14.0,1,15,37
baseline,1,198,533.5555555555555,317.4,269,0,0
baseline,2,198,534.1515151515151,317.4,270,0,0
baseline,3,198,534.1111111111111,318.4,270,0,0
baseline,4,198,534.1767676767677,317.4,270,0,0
baseline,5,198,534.3686868686868,318.4,270,0,0
information,1,168,21.160714285714285,2.0,1,53,128
information,2,176,20.556818181818183,1.5,1,57,136
information,3,177,20.468926553672315,2.0,1,60,137
information,4,176,20.556818181818183,1.5,1,57,136
information,5,185,20.005405405405405,1.0,1,64,145
