stock_label,horizon_trading_days,months,mean_q5_minus_q1_return,newey_west_t_lag5,sample
attention,1,186,0.0005607583916301808,0.6944097021884345,horizon_specific_months
baseline,1,198,0.001199300059708654,2.774204511135136,horizon_specific_months
information,1,168,0.0016805864877123891,1.3232781773288622,horizon_specific_months
attention,5,186,0.0030464614826355416,1.4491965074511417,horizon_specific_months
baseline,5,198,0.0017112477301291782,1.3468469218452368,horizon_specific_months
information,5,168,0.0016922498453307126,0.555868341361725,horizon_specific_months
attention,10,186,0.0017462332206208589,0.8197217817096805,horizon_specific_months
baseline,10,198,0.0037659589268429763,2.965385342588242,horizon_specific_months
information,10,168,0.0005454461761984616,0.13233224880102937,horizon_specific_months
attention,20,133,0.014616152939304874,3.9619925764365265,horizon_specific_months
baseline,20,141,0.01014298987966417,5.518510336066392,horizon_specific_months
information,20,122,8.449476266605766e-05,0.018067746796623475,horizon_specific_months
attention,1,133,0.0011762271813344854,1.086054894137303,matched_20day_capable_months
attention,5,133,0.007025811831917858,2.339290428656353,matched_20day_capable_months
attention,10,133,0.0044450009141116555,1.803744418366397,matched_20day_capable_months
attention,20,133,0.014616152939304874,3.9619925764365265,matched_20day_capable_months
information,1,122,0.000777385735131503,0.5602277818814289,matched_20day_capable_months
information,5,122,0.0025021518295130643,0.8560165817082639,matched_20day_capable_months
information,10,122,-0.000983999862591821,-0.23934751004620447,matched_20day_capable_months
information,20,122,8.449476266605766e-05,0.018067746796623475,matched_20day_capable_months
baseline,1,141,0.001243570288760746,2.4306258747203047,matched_20day_capable_months
baseline,5,141,0.002830329211742969,2.0553926153335955,matched_20day_capable_months
baseline,10,141,0.004240820959003901,2.929479063173247,matched_20day_capable_months
baseline,20,141,0.01014298987966417,5.518510336066392,matched_20day_capable_months
